id,title,adult,genres,production_companies,spoken_languages,metadata
amityville+3-d+1983,Amityville 3-D,False,"['horror', 'thriller']",['delaurentiisentertainmentgroup(deg)'],['english'],Amityville 3-D False horror thriller delaurentiisentertainmentgroup(deg)  english
billy+bathgate+1991,Billy Bathgate,False,"['drama', 'action', 'thriller', 'crime']",['touchstonepictures'],"['english', 'italiano']",Billy Bathgate False drama action thriller crime touchstonepictures  english italiano
moonstruck+1987,Moonstruck,False,"['comedy', 'drama', 'romance']","['metro-goldwyn-mayer(mgm)', 'starpartners']",['english'],Moonstruck False comedy drama romance metro-goldwyn-mayer(mgm) starpartners  english
the+second+jungle+book+mowgli++baloo+1997,The Second Jungle Book: Mowgli & Baloo,False,"['adventure', 'family']",['tristarpictures'],['english'],The Second Jungle Book: Mowgli & Baloo False adventure family tristarpictures  english
rush+2013,Rush,False,"['drama', 'action']","['revolutionfilms', 'workingtitlefilms', 'crosscreekpictures', 'exclusivemediagroup', 'doublenegative']","['english', 'deutsch', 'italiano', 'français']",Rush False drama action revolutionfilms workingtitlefilms crosscreekpictures exclusivemediagroup doublenegative  english deutsch italiano français
scarface+1983,Scarface,False,"['action', 'crime', 'drama', 'thriller']",['universalpictures'],"['english', 'español']",Scarface False action crime drama thriller universalpictures  english español
an+unforgettable+summer+1994,An Unforgettable Summer,False,"['drama', 'romance', 'war']","['canalplus', 'mk2production']","['english', 'română']",An Unforgettable Summer False drama romance war canalplus mk2production  english română
the+worlds+end+2013,The World's End,False,"['comedy', 'action', 'sciencefiction']","['universalpictures', 'bigtalkproductions', 'focusfeatures', 'workingtitlefilms']",['english'],The World's End False comedy action sciencefiction universalpictures bigtalkproductions focusfeatures workingtitlefilms  english
grand+piano+2013,Grand Piano,False,"['thriller', 'mystery']","['nostromopictures', 'telefónicaproducciones']",['english'],Grand Piano False thriller mystery nostromopictures telefónicaproducciones  english
taxi+3+2003,Taxi 3,False,"['action', 'comedy']",['europacorp'],['français'],Taxi 3 False action comedy europacorp  français
happy+accidents+2000,Happy Accidents,False,"['comedy', 'romance', 'sciencefiction']",['independentfilmchannel'],['english'],Happy Accidents False comedy romance sciencefiction independentfilmchannel  english
the+country+bears+2002,The Country Bears,False,"['adventure', 'comedy', 'family']",['waltdisneypictures'],['english'],The Country Bears False adventure comedy family waltdisneypictures  english
bicycle+thieves+1948,Bicycle Thieves,False,['drama'],['produzionidesica'],['italiano'],Bicycle Thieves False drama produzionidesica  italiano
