id,title,adult,genres,production_companies,spoken_languages,metadata
+la+mode+1993,À la mode,False,['comedy'],[],[],À la mode False comedy   
+nos+amours+1983,À nos amours,False,"['drama', 'romance']","['gaumont', 'lesfilmsdulivradois', 'france3cinema']","['english', 'français']",À nos amours False drama romance gaumont lesfilmsdulivradois france3cinema  english français
+nous+la+libert+1931,À Nous la Liberté,False,['comedy'],['filmssonorestobis'],['français'],À Nous la Liberté False comedy filmssonorestobis  français
...all+the+marbles+1981,...All the Marbles,False,"['action', 'comedy', 'drama', 'romance']",['metro-goldwyn-mayer(mgm)'],['english'],...All the Marbles False action comedy drama romance metro-goldwyn-mayer(mgm)  english
...and+god+created+woman+1956,...And God Created Woman,False,"['drama', 'romance']",['iénaproductions'],"['english', 'français']",...And God Created Woman False drama romance iénaproductions  english français
...and+justice+for+all+1979,...And Justice for All,False,"['crime', 'drama', 'mystery', 'thriller']",['columbiapicturescorporation'],"['český', 'english']",...And Justice for All False crime drama mystery thriller columbiapicturescorporation  český english
.45+2006,.45,False,"['drama', 'crime', 'thriller']","['mediatalentgroup', 'möbiusentertainment']",['english'],.45 False drama crime thriller mediatalentgroup möbiusentertainment  english
1-900+1994,1-900,False,[],[],"['nederlands', 'english']",1-900 False    nederlands english
10+1979,10,False,"['comedy', 'romance']","['orionpicturescorporation', 'geoffreyproductions']","['english', 'deutsch']",10 False comedy romance orionpicturescorporation geoffreyproductions  english deutsch
10+items+or+less+2006,10 Items or Less,False,"['comedy', 'drama']","['revelationsentertainment', 'mockingbirdpictures', 'revealentertainment']","['english', 'español']",10 Items or Less False comedy drama revelationsentertainment mockingbirdpictures revealentertainment  english español
10+questions+for+the+dalai+lama+2006,10 Questions for the Dalai Lama,False,['documentary'],[],['english'],10 Questions for the Dalai Lama False documentary   english
10+rillington+place+1971,10 Rillington Place,False,"['crime', 'drama']","['columbiapictures', 'filmwayspictures', 'genesisproductionsltd.']",['english'],10 Rillington Place False crime drama columbiapictures filmwayspictures genesisproductionsltd.  english
