user_id,age,occupation,gender
100,27,college/grad student,M
1000000,29,programmer,M
100004,20,college/grad student,M
100008,25,sales/marketing,F
100027,26,sales/marketing,M
100036,18,scientist,M
10004,33,executive/managerial,M
100045,32,academic/educator,F
100055,26,self-employed,M
100059,27,tradesman/craftsman,M
100060,31,sales/marketing,M
100065,25,college/grad student,F
100068,29,sales/marketing,M
100077,19,K-12 student,M
100090,26,executive/managerial,M
100097,26,college/grad student,M
100125,34,college/grad student,M
100130,25,college/grad student,M
100132,40,executive/managerial,F
100133,27,college/grad student,M
100137,26,self-employed,M
100160,24,college/grad student,M
100163,26,college/grad student,F
100167,31,executive/managerial,F
100185,34,academic/educator,M
100196,25,retired,M
10020,75,executive/managerial,F
100209,29,sales/marketing,M
100210,31,executive/managerial,M
100225,34,scientist,M
100227,28,college/grad student,M
100231,33,college/grad student,F
100232,29,college/grad student,M
10024,25,self-employed,M
100242,27,sales/marketing,M
100256,25,executive/managerial,M
100264,30,college/grad student,M
100272,29,executive/managerial,M
100275,33,college/grad student,M
100286,20,sales/marketing,M
100319,31,college/grad student,M
100326,30,other or not specified,F
100331,34,executive/managerial,M
100332,34,sales/marketing,M
100333,27,sales/marketing,M
100340,45,academic/educator,F
100347,20,technician/engineer,M
100354,42,self-employed,M
100357,28,executive/managerial,M
100358,32,artist,M
100391,27,sales/marketing,M
100395,42,executive/managerial,F
100396,31,college/grad student,F
100399,22,sales/marketing,M
10040,22,scientist,M
100406,32,college/grad student,F
10041,31,artist,M
100421,31,self-employed,M
100422,33,executive/managerial,M
100428,47,clerical/admin,F
100436,29,sales/marketing,M
100450,33,college/grad student,M
100455,31,college/grad student,M
10047,32,executive/managerial,F
100481,76,academic/educator,F
100487,18,tradesman/craftsman,M
1005,31,executive/managerial,M
100500,28,sales/marketing,M
100508,33,executive/managerial,M
100512,19,sales/marketing,M
100527,32,scientist,M
100547,35,college/grad student,M
100556,30,clerical/admin,M
100558,34,sales/marketing,M
100566,18,homemaker,M
100584,31,college/grad student,M
100591,44,executive/managerial,M
100612,43,sales/marketing,M
100615,23,college/grad student,M
100629,25,homemaker,F
10063,18,academic/educator,F
100631,21,K-12 student,M
100640,33,scientist,F
100646,28,academic/educator,F
100651,29,college/grad student,F
100652,30,sales/marketing,M
100662,34,college/grad student,M
100667,26,scientist,M
100669,27,sales/marketing,M
100674,28,sales/marketing,M
100685,26,artist,F
100686,32,college/grad student,M
100687,25,executive/managerial,M
100693,28,scientist,F
100712,31,sales/marketing,M
100718,20,programmer,M
100724,27,executive/managerial,M
100729,29,academic/educator,M
10073,31,executive/managerial,M
100739,28,other or not specified,M
100745,32,college/grad student,M
100748,30,college/grad student,M
100771,26,college/grad student,M
100778,33,artist,M
100790,31,scientist,M
100794,32,other or not specified,F
100797,30,other or not specified,M
100799,33,executive/managerial,M
100801,32,sales/marketing,M
100812,25,sales/marketing,M
100813,25,executive/managerial,F
100822,29,college/grad student,M
100834,34,executive/managerial,M
100839,34,retired,M
100840,28,executive/managerial,M
100842,31,college/grad student,M
100843,34,college/grad student,F
100845,28,scientist,M
100846,30,executive/managerial,F
100855,30,college/grad student,M
100863,31,executive/managerial,M
100867,25,scientist,M
10088,27,executive/managerial,M
100880,44,executive/managerial,M
10090,28,college/grad student,F
100904,43,homemaker,M
100910,27,college/grad student,M
100911,25,academic/educator,M
100916,25,scientist,M
100918,31,other or not specified,M
100923,25,college/grad student,M
100926,28,college/grad student,M
100932,34,executive/managerial,M
100939,25,sales/marketing,F
10094,39,sales/marketing,F
100943,33,college/grad student,M
100951,30,scientist,M
100956,25,scientist,M
100957,28,sales/marketing,M
100958,33,writer,M
100968,27,college/grad student,M
101000,78,scientist,M
101008,34,college/grad student,F
101018,33,self-employed,M
101024,26,scientist,M
101028,30,executive/managerial,M
10103,32,scientist,M
101039,21,other or not specified,M
101059,26,sales/marketing,M
101061,31,self-employed,M
101072,33,scientist,M
101076,27,college/grad student,M
101078,27,executive/managerial,M
10109,29,executive/managerial,M
101091,42,executive/managerial,M
101109,34,executive/managerial,M
101113,30,clerical/admin,M
101114,25,scientist,M
101126,32,college/grad student,M
101128,30,scientist,M
101138,26,college/grad student,M
101146,26,artist,M
10115,29,executive/managerial,M
101155,33,sales/marketing,M
101173,30,executive/managerial,M
101180,26,sales/marketing,M
101182,31,scientist,F
101193,29,programmer,M
101194,32,academic/educator,M
101210,32,executive/managerial,M
101221,26,executive/managerial,M
101231,34,college/grad student,F
101236,25,executive/managerial,M
101237,31,self-employed,M
101243,31,self-employed,M
101247,26,sales/marketing,M
101250,26,technician/engineer,M
101251,30,college/grad student,M
101259,31,college/grad student,M
101268,26,self-employed,M
101272,33,scientist,M
101273,29,college/grad student,M
101276,25,executive/managerial,M
101284,25,self-employed,M
101292,30,sales/marketing,M
101303,30,scientist,M
101304,28,executive/managerial,M
101307,51,executive/managerial,M
101312,31,executive/managerial,M
101320,28,academic/educator,F
101322,32,college/grad student,M
101333,15,K-12 student,M
101338,30,scientist,M
101344,29,sales/marketing,M
101359,30,scientist,M
101362,26,executive/managerial,M
101371,19,scientist,M
10138,25,academic/educator,M
101383,25,college/grad student,M
101384,29,lawyer,M
10139,28,sales/marketing,M
10140,28,sales/marketing,M
101406,22,sales/marketing,M
10142,28,scientist,M
101421,32,sales/marketing,F
101423,31,college/grad student,M
101425,26,other or not specified,M
101426,76,academic/educator,M
101440,28,scientist,M
101444,30,scientist,M
101447,32,executive/managerial,M
101457,30,self-employed,M
101463,26,college/grad student,M
101464,25,executive/managerial,M
101482,34,other or not specified,M
101490,34,other or not specified,M
101503,34,college/grad student,F
101509,31,sales/marketing,M
10151,26,sales/marketing,M
101528,25,executive/managerial,M
101535,26,other or not specified,M
101552,28,sales/marketing,M
101556,32,other or not specified,F
101565,29,college/grad student,M
101585,44,college/grad student,M
101594,32,college/grad student,M
101610,28,retired,M
101630,19,homemaker,F
101644,25,executive/managerial,M
101649,30,other or not specified,M
101667,71,college/grad student,F
101682,31,executive/managerial,F
101698,27,college/grad student,M
101702,26,homemaker,F
101709,81,executive/managerial,M
101718,32,self-employed,M
101724,27,tradesman/craftsman,M
101725,25,K-12 student,M
101728,25,technician/engineer,M
101735,31,college/grad student,M
101742,32,clerical/admin,F
101749,37,sales/marketing,M
101752,31,executive/managerial,M
101766,28,executive/managerial,M
101772,29,other or not specified,M
101775,34,sales/marketing,M
101783,25,executive/managerial,M
101790,27,sales/marketing,M
101811,29,college/grad student,M
101813,30,executive/managerial,M
101824,25,college/grad student,M
101834,50,clerical/admin,M
101835,21,K-12 student,M
101843,27,scientist,M
101846,30,college/grad student,M
101848,28,sales/marketing,M
101852,31,executive/managerial,M
101861,30,artist,M
101867,25,college/grad student,M
101868,27,executive/managerial,M
101870,26,college/grad student,M
101888,25,executive/managerial,M
101899,33,scientist,M
1019,29,self-employed,M
101916,33,college/grad student,M
101919,38,self-employed,M
10192,33,college/grad student,F
101925,9,K-12 student,F
101926,25,sales/marketing,M
101933,34,executive/managerial,M
101941,32,executive/managerial,M
101946,26,other or not specified,M
101950,34,homemaker,M
101952,32,executive/managerial,M
101953,32,college/grad student,M
101969,33,executive/managerial,M
101975,33,sales/marketing,M
101977,33,homemaker,M
101982,25,other or not specified,M
101986,40,executive/managerial,M
10199,33,college/grad student,M
101995,33,scientist,M
102004,25,sales/marketing,M
102013,28,K-12 student,M
10202,30,scientist,M
102025,41,clerical/admin,M
102034,33,self-employed,F
102039,33,lawyer,M
10204,34,technician/engineer,M
102044,34,college/grad student,M
102048,31,academic/educator,F
102056,29,clerical/admin,M
102063,29,clerical/admin,M
102090,33,retired,F
102101,26,executive/managerial,M
102113,29,executive/managerial,F
102123,29,academic/educator,M
102126,29,college/grad student,M
102145,23,sales/marketing,M
102146,33,college/grad student,M
102153,25,executive/managerial,F
102158,29,K-12 student,F
102170,26,other or not specified,F
102189,32,scientist,M
102199,33,K-12 student,M
1022,29,college/grad student,M
102202,28,academic/educator,M
102206,25,homemaker,F
102215,36,executive/managerial,M
102219,29,academic/educator,M
102222,28,scientist,M
102223,36,college/grad student,F
102225,33,college/grad student,M
102227,28,executive/managerial,F
102234,31,college/grad student,M
102251,26,executive/managerial,M
102276,33,college/grad student,M
102299,28,scientist,F
1023,34,scientist,M
102302,19,sales/marketing,F
102305,26,executive/managerial,M
102314,43,executive/managerial,M
102316,32,college/grad student,M
102323,25,executive/managerial,M
102325,33,technician/engineer,M
102329,42,homemaker,M
102334,27,retired,F
102336,25,college/grad student,M
102339,26,college/grad student,M
10234,32,self-employed,F
102349,27,sales/marketing,M
102362,30,executive/managerial,M
102392,26,college/grad student,M
1024,21,homemaker,M
10240,70,college/grad student,F
102411,26,clerical/admin,M
102412,10,college/grad student,M
102418,32,executive/managerial,M
102424,18,K-12 student,M
102428,27,executive/managerial,M
102439,32,college/grad student,M
102442,46,sales/marketing,M
102444,28,academic/educator,M
102455,10,homemaker,M
102456,29,sales/marketing,F
102461,28,scientist,M
102467,25,self-employed,M
102470,32,programmer,M
102474,33,college/grad student,M
10248,31,sales/marketing,F
102487,30,college/grad student,M
102509,26,other or not specified,M
102511,30,executive/managerial,F
102525,31,technician/engineer,M
102529,28,self-employed,M
10253,26,college/grad student,M
102530,22,college/grad student,M
102536,27,sales/marketing,M
102545,32,college/grad student,M
102547,26,sales/marketing,F
102551,30,college/grad student,M
102568,29,college/grad student,M
102569,29,scientist,M
102581,19,sales/marketing,M
102589,30,college/grad student,F
102613,31,K-12 student,M
102614,27,other or not specified,M
102617,32,technician/engineer,M
102619,39,executive/managerial,M
10262,26,college/grad student,M
102620,25,scientist,M
102635,30,technician/engineer,M
102640,18,homemaker,M
102645,25,retired,M
102647,33,executive/managerial,M
102649,25,executive/managerial,M
102671,34,scientist,M
102673,25,college/grad student,M
102677,27,sales/marketing,M
102698,28,executive/managerial,M
102709,31,other or not specified,M
10273,34,executive/managerial,M
102731,31,college/grad student,M
102733,90,retired,F
102735,34,college/grad student,M
102740,33,other or not specified,M
102745,26,college/grad student,M
102752,30,college/grad student,M
102758,30,executive/managerial,M
102773,30,executive/managerial,M
102777,28,sales/marketing,M
10279,23,college/grad student,M
102791,27,college/grad student,M
102803,32,college/grad student,F
102816,25,college/grad student,M
102829,25,executive/managerial,M
102832,26,college/grad student,M
102839,28,executive/managerial,F
10284,26,executive/managerial,M
102841,28,technician/engineer,M
102846,33,college/grad student,M
102856,28,college/grad student,M
102868,33,scientist,M
102871,30,college/grad student,M
102873,26,academic/educator,F
102875,26,other or not specified,F
102876,27,college/grad student,M
102891,34,college/grad student,F
102905,27,college/grad student,M
102919,29,executive/managerial,M
102921,34,sales/marketing,M
102929,25,sales/marketing,M
102942,23,other or not specified,M
102944,28,college/grad student,M
102960,19,college/grad student,M
102961,27,self-employed,M
102964,32,sales/marketing,M
102965,30,self-employed,M
102966,34,self-employed,M
102976,33,executive/managerial,M
102988,33,college/grad student,M
102990,30,academic/educator,F
103,34,scientist,F
103022,49,academic/educator,M
103027,27,artist,M
103035,25,college/grad student,M
103036,32,scientist,M
10305,28,executive/managerial,F
103053,26,college/grad student,M
103054,28,other or not specified,M
10308,33,executive/managerial,M
103081,27,scientist,M
103082,29,scientist,M
103092,28,scientist,M
103099,30,self-employed,M
103106,15,K-12 student,M
103115,83,retired,F
103116,27,other or not specified,M
103118,30,college/grad student,F
103122,27,sales/marketing,M
103127,33,other or not specified,M
103133,33,sales/marketing,M
103136,28,artist,M
10314,30,sales/marketing,M
