user,movie,rating
292159,chronicle+of+the+years+of+fire+1975,3
124255,x-men+days+of+future+past+2014,3
145155,harry+potter+and+the+prisoner+of+azkaban+2004,5
55131,the+matrix+1999,5
1927,shrek+2+2004,3
47135,a+bugs+life+1998,5
216345,before+the+dinosaurs+-+walking+with+monsters+2005,3
248700,despicable+me+2010,5
288713,harry+potter+and+the+prisoner+of+azkaban+2004,3
113308,take+shelter+2011,4
172528,star+wars+1977,4
266913,blade+runner+1982,4
297896,mutantes+2009,4
149371,kiwi+2006,4
299791,russia+88+2009,4
40696,garbage+prince+2011,4
59755,pirates+of+the+caribbean+at+worlds+end+2007,4
260512,seed+of+chucky+2004,3
247703,terror+beneath+the+sea+1966,3
76198,the+incredibles+2004,4
169726,strongman+2011,3
105335,vpeli+krmy+ja+kahtesti+laukeava+1997,3
231521,the+hudsucker+proxy+1994,4
17247,the+usual+suspects+1995,4
229051,lille+fridolf+och+jag+1956,4
27348,insomnia+2002,3
134763,how+2+build+a+rapper+2008,3
265709,echoes+from+the+dead+2013,4
254411,for+the+birds+2000,3
121593,fantastic+4+rise+of+the+silver+surfer+2007,2
160964,the+pirates+in+an+adventure+with+scientists+2012,4
35138,seven+samurai+1954,5
279550,monsters_+inc.+2001,4
64149,the+son+of+the+sheik+1926,4
40580,phantom+of+the+paradise+1974,4
114961,moomins+on+the+riviera+2014,3
292,the+proprietor+1996,3
224806,of+gods+and+men+2010,3
108647,interiors+1978,4
158864,the+proprietor+1996,4
304526,gentlemen+of+fortune+1971,4
90668,all+the+presidents+men+1976,3
87996,airplane+1980,4
65748,the+imitation+game+2014,4
242602,march+of+the+penguins+2005,4
15849,the+secret+life+of+walter+mitty+2013,4
162856,44500+max+2009,4
154975,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,4
62691,the+lord+of+the+rings+the+return+of+the+king+2003,4
254164,le+bonheur+1965,2
224419,the+stranger+in+me+2008,2
192621,snowpiercer+2013,4
3745,nausica+of+the+valley+of+the+wind+1984,5
203975,vice+2008,3
209983,the+girl+next+door+2004,3
157810,dr.+terrors+house+of+horrors+1965,3
51279,somethings+gotta+give+2003,4
227693,slacker+2011+2011,3
117772,eyewitness+1981,3
62934,big+hero+6+2014,4
113870,the+night+of+the+iguana+1964,5
113989,history+of+the+world+part+i+1981,4
219472,butcher+boys+2013,3
284014,master+and+commander+the+far+side+of+the+world+2003,4
188078,de+nieuwe+wildernis+2013,4
180473,spirited+away+2001,3
2118,the+ghost+breakers+1940,3
76128,circle+of+iron+1978,2
42194,happy+endings+2005,5
198013,batman+begins+2005,4
169869,the+bridesmaid+2004,4
123688,inception+2010,4
220398,chameleon+2008,3
248991,red+dawn+1984,3
55536,die+hard+1988,3
294308,dara+o+briain+talks+funny+live+in+london+2008,4
306355,partly+cloudy+2009,3
218589,table+no.+21+2013,4
195031,mulan+rise+of+a+warrior+2009,4
119872,gone+girl+2014,4
289548,the+proprietor+1996,4
26876,the+naughty+room+2012,4
65376,days+of+heaven+1978,3
48011,dracula+3d+2012,4
76074,frankenstein+1931,5
233057,gangster+squad+2013,3
203611,confessions+2010,4
39434,indiana+jones+and+the+last+crusade+1989,3
233389,interstellar+2014,5
45287,terminator+3+rise+of+the+machines+2003,5
76511,the+good_+the+bad+and+the+ugly+1966,3
74043,bloodstone+subspecies+ii+1993,4
141709,snow+white+and+the+seven+dwarfs+1937,3
