user,movie
62387,iron+man+2008
169091,die+weisse+rose+1982
953,how+to+train+your+dragon+2010
203758,the+hunger+games+mockingjay+-+part+1+2014
127249,fire+of+conscience+2010
119322,harry+potter+and+the+order+of+the+phoenix+2007
212864,scarface+1983
257119,the+factory+2012
307654,8+days+to+premiere+2008
276665,die+hard+1988
257064,the+great+debaters+2007
20830,morocco+1930
116041,the+lord+of+the+rings+the+return+of+the+king+2003
223004,brave+2012
28654,the+home+of+dark+butterflies+2008
209464,rabbit+without+ears+2007
229261,blade+runner+1982
302928,some+guy+who+kills+people+2011
168247,ink+2009
146242,willy+wonka++the+chocolate+factory+1971
168544,the+burning+1981
230088,yrrol+1994
29692,the+gods+must+be+crazy+1980
122612,x-men+days+of+future+past+2014
21445,broken+blossoms+1919
112395,the+best+of+youth+2003
166692,the+shawshank+redemption+1994
296930,ingmar+bergman+makes+a+movie+1963
84663,leon+the+professional+1994
235321,the+avengers+2012
132315,margin+call+2011
97231,family+law+2006
75781,the+dark+knight+2008
243715,maze+2000
162041,true+crime+1996
37350,punchline+1988
28383,citizen+x+1995
47892,howls+moving+castle+2004
38842,duck+soup+1933
266577,let+the+right+one+in+2008
74403,weekend+1967
234171,my+mothers+smile+2002
225605,the+book+of+life+1998
132706,the+house+of+yes+1997
71829,frenzy+1972
291486,casper+1995
273146,raiders+of+the+lost+ark+1981
112173,mary+poppins+1964
109033,ong-bak+the+thai+warrior+2003
187307,frenzy+1972
173355,out+of+sight+1998
173612,the+air+i+breathe+2007
280804,howls+moving+castle+2004
244871,jacobs+ladder+1990
26150,cry+freedom+1987
28058,p.s.+2004
93611,goodbye+bafana+2007
23345,true+crime+1996
33024,leon+the+professional+1994
289960,p.s.+2004
108399,true+colors+1991
86788,arranged+2007
204343,the+last+of+the+mohicans+1992
18959,avatar+2009
28778,the+shining+1980
294123,and+now...+ladies+and+gentlemen...+2002
196128,a+charlie+brown+christmas+1965
20256,dial+m+for+murder+1954
208616,liam+2000
33822,gone+girl+2014
176856,boys+school+1938
194851,the+constant+nymph+1943
224260,viva+zapata+1952
292596,spirited+away+2001
192464,the+true+story+of+puss+n+boots+2009
33290,the+last+of+england+1987
126717,top+secret+1984
226134,my+man+godfrey+1957
2802,the+conspiracy+2012
169583,narc+2002
162821,the+proprietor+1996
264739,sel8nne+2013
256574,cry+freedom+1987
232590,balkan+spy+1984
157110,dial+m+for+murder+1954
288566,the+brave+1997
87520,raging+bull+1980
182124,born+american+1986
172647,the+devil+and+daniel+webster+1941
193704,whiplash+2014
90385,big+ass+spider+2013
236133,and+now...+ladies+and+gentlemen...+2002
144047,cries+and+whispers+1972
220848,captain+america+1990
193317,batman+the+dark+knight+returns_+part+1+2012
229029,joan+of+arc+1948
307586,robot+stories+2003
251051,billy+liar+1963
196712,bill+cosby+himself+1983
305561,down+periscope+1996
252593,the+longest+day+1962
178097,a+bittersweet+life+2005
130942,peace_+love++misunderstanding+2011
130493,ivans+childhood+1962
191399,barbershop+2002
75558,once+upon+a+scoundrel+1974
154426,revolver+2005
262549,wreck-it+ralph+2012
26066,aliens+1986
271995,freedom+2000
172631,rollerball+1975
40942,castle+in+the+sky+1986
223627,the+amazing+spider-man+2+2014
126976,goodfellas+1990
6425,prata+palomares+1972
112845,fires+on+the+plain+1959
14489,cry+freedom+1987
181172,shampoo+1975
247738,a+dangerous+place+2012
119393,the+green+mile+1999
199863,the+contender+2000
98357,gone+girl+2014
253288,home+alone+the+holiday+heist+2012
52178,applause+2009
56507,source+code+2011
256489,the+amazing+spider-man+2+2014
87775,aliens+1986
288403,a+bittersweet+life+2005
277507,wreck-it+ralph+2012
170642,sal_+or+the+120+days+of+sodom+1975
90321,die+hard+1988
166761,tarzan+1999
81185,sleepers+1996
238906,arcana+1972
108584,american+virgin+2000
269548,the+yakuza+1974
169223,replicant+2001
3506,i_+robot+2004
284302,the+money+pit+1986
142194,predator+1987
137929,the+truth+about+emanuel+2013
273196,the+man+who+knew+too+much+1934
36376,the+imitation+game+2014
289471,stalker+1979
221412,terminator+salvation+2009
100075,the+killing+1956
62563,the+brother+from+another+planet+1984
231269,no+exit+1954
156027,baadasssss+2004
261848,i+wake+up+screaming+1941
261612,the+chase+1966
221099,the+snowman+1982
285266,poto+and+cabengo+1980
155597,rollerball+1975
105311,casper+1995
178140,my+neighbor+totoro+1988
273045,metropolitan+1990
44048,american+psycho+2000
31199,the+3+worlds+of+gulliver+1960
151489,eyewitness+1981
10192,like+sunday_+like+rain+2014
232324,harry+potter+and+the+prisoner+of+azkaban+2004
137484,arabian+nights+1974
199001,bill+cosby+himself+1983
191405,star+wars+episode+iii+-+revenge+of+the+sith+2005
103803,car+bpnus+2001
44639,the+dark+knight+2008
99919,a+family+thing+1996
41386,women+arent+funny+2014
51674,it+follows+2015
26524,the+cement+garden+1993
300679,barbarosa+1982
12588,the+dresser+1983
52703,three+ages+1923
163885,frenzy+1972
233837,my+man+godfrey+1957
50824,dope+2015
263168,p.s.+2004
172307,woochi++the+demon+slayer+2009
127163,occupant+2011
11652,harry+potter+and+the+order+of+the+phoenix+2007
220543,the+most+dangerous+man+in+america+daniel+ellsberg+and+the+pentagon+papers+2009
99983,curdled+1996
240479,x-men+days+of+future+past+2014
139602,arranged+2007
68185,magic+mike+2012
47750,voices+of+a+distant+star+2002
67829,hansel++gretel+witch+hunters+2013
305214,after+alice+1999
272636,incendies+2010
180122,winnie+the+pooh+2011
50446,n+1998
43391,cry+freedom+1987
142452,die+nibelungen+siegfried+1924
125725,the+day+the+earth+froze+1959
179288,the+beast+must+die+1974
116581,spider+lilies+2007
40620,3-iron+2004
223880,purple+butterfly+2003
31801,all+quiet+on+the+western+front+1930
142129,the+naked+prey+1965
181760,ill+see+you+in+my+dreams+2015
102442,geronimo+an+american+legend+1993
219923,nebraska+2013
228846,magnolia+1999
156165,the+perfect+score+2004
262550,head+1968
164606,eye+of+the+needle+1981
77290,small+apartments+2012
279345,maborosi+1995
187533,the+lion+king+1994
205903,flipped+2010
3951,snowpiercer+2013
132514,cry+freedom+1987
191045,coraline+2009
44104,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003
250791,malone+1987
109136,despicable+me+2+2013
301975,eyewitness+1981
11895,detective+story+1951
128284,japanese+summer+double+suicide+1967
121291,presto+2008
305086,the+five+senses+1999
230267,get+to+know+your+rabbit+1972
269420,all+the+presidents+men+1976
91266,finding+forrester+2000
235303,iron+man+3+2013
47522,page+miss+glory+1935
246245,the+high+and+the+mighty+1954
237068,wreck-it+ralph+2012
262106,the+longest+day+1962
85776,the+killers+1946
21117,whos+your+daddy+2004
72563,the+ascent+1977
165508,a+town+called+hell+1971
274835,the+lord+of+the+rings+the+return+of+the+king+2003
178876,on+the+edge+2001
229535,gelosia+1953
214841,constantine+2005
65782,barbershop+2002
170531,avatar+2009
137008,smash+his+camera+2010
131839,prince+of+darkness+1987
222289,rollerball+1975
274716,sleepers+1996
74525,eyewitness+1981
286474,my+little+business+1999
189114,mrs.+soffel+1984
42925,one+day+2011
168905,eyewitness+1981
130366,a+night+for+dying+tigers+2010
